# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
4.150000,-0.638258,2.352977
4.166667,-0.643434,2.350340
4.183333,-0.648394,2.347500
4.200000,-0.653121,2.344455
4.216667,-0.657603,2.341204
4.233333,-0.661823,2.337749
4.250000,-0.665768,2.334090
4.266667,-0.669423,2.330230
4.283333,-0.672776,2.326172
4.300000,-0.675813,2.321921
4.316667,-0.678522,2.317482
4.333333,-0.680894,2.312863
4.350000,-0.682919,2.308070
4.366667,-0.684591,2.303115
4.383333,-0.685902,2.298008
4.400000,-0.686854,2.292760
4.416667,-0.687442,2.287385
4.433333,-0.687671,2.281895
4.450000,-0.687544,2.276306
4.466667,-0.687067,2.270631
4.483333,-0.686248,2.264885
4.500000,-0.685099,2.259083
4.516667,-0.683632,2.253238
4.533333,-0.681859,2.247363
4.550000,-0.679796,2.241472
4.566667,-0.677457,2.235576
4.583333,-0.674858,2.229685
4.600000,-0.672015,2.223809
4.616667,-0.668945,2.217958
4.633333,-0.665661,2.212138
4.650000,-0.662179,2.206356
4.666667,-0.658514,2.200618
4.683333,-0.654681,2.194929
4.700000,-0.650691,2.189293
4.716667,-0.646557,2.183713
4.733333,-0.642292,2.178191
4.750000,-0.637906,2.172730
4.766667,-0.633409,2.167331
4.783333,-0.628811,2.161996
4.800000,-0.624120,2.156724
4.816667,-0.619345,2.151517
4.833333,-0.614494,2.146374
4.850000,-0.609572,2.141294
4.866667,-0.604587,2.136279
4.883333,-0.599545,2.131326
4.900000,-0.594450,2.126435
4.916667,-0.589308,2.121605
4.933333,-0.584124,2.116836
4.950000,-0.578901,2.112126
4.966667,-0.573643,2.107473
4.983333,-0.568355,2.102877
5.000000,-0.563039,2.098336
5.016667,-0.557698,2.093849
5.033333,-0.552335,2.089415
5.050000,-0.546952,2.085031
5.066667,-0.541553,2.080697
5.083333,-0.536139,2.076411
5.100000,-0.530712,2.072171
5.116667,-0.525274,2.067976
5.133333,-0.519826,2.063824
5.150000,-0.514371,2.059713
5.166667,-0.508909,2.055642
5.183333,-0.503443,2.051608
5.200000,-0.497973,2.047610
5.216667,-0.492500,2.043646
5.233333,-0.487026,2.039713
5.250000,-0.481551,2.035810
5.266667,-0.476077,2.031934
5.283333,-0.470605,2.028083
5.300000,-0.465134,2.024253
5.316667,-0.459667,2.020442
5.333333,-0.454204,2.016646
5.350000,-0.448745,2.012862
5.366667,-0.443292,2.009087
5.383333,-0.437845,2.005315
5.400000,-0.432405,2.001542
5.416667,-0.426973,1.997761
5.433333,-0.421550,1.993968
5.450000,-0.416137,1.990154
5.466667,-0.410736,1.986311
5.483333,-0.405348,1.982429
5.500000,-0.399975,1.978497
5.516667,-0.394620,1.974501
5.533333,-0.389287,1.970426
5.550000,-0.383982,1.966251
5.566667,-0.378713,1.961955
5.583333,-0.373489,1.957511
5.600000,-0.368327,1.952890
5.616667,-0.363251,1.948055
5.633333,-0.358294,1.942974
5.650000,-0.353503,1.937615
5.666667,-0.348939,1.931960
5.683333,-0.344676,1.926017
5.700000,-0.340787,1.919826
5.716667,-0.337324,1.913457
5.733333,-0.334302,1.906991
5.750000,-0.331696,1.900499
5.766667,-0.329457,1.894028
5.783333,-0.327524,1.887604
5.800000,-0.325835,1.881233
5.816667,-0.324336,1.874914
5.833333,-0.322982,1.868640
5.850000,-0.321734,1.862400
5.866667,-0.320563,1.856186
5.883333,-0.319443,1.849987
5.900000,-0.318353,1.843795
5.916667,-0.317277,1.837603
5.933333,-0.316201,1.831405
5.950000,-0.315114,1.825194
5.966667,-0.314006,1.818966
5.983333,-0.312868,1.812716
6.000000,-0.311695,1.806442
6.016667,-0.310479,1.800140
6.033333,-0.309217,1.793807
6.050000,-0.307902,1.787441
6.066667,-0.306532,1.781041
6.083333,-0.305103,1.774605
6.100000,-0.303612,1.768131
6.116667,-0.302056,1.761618
6.133333,-0.300433,1.755066
6.150000,-0.298740,1.748473
6.166667,-0.296976,1.741840
6.183333,-0.295138,1.735165
6.200000,-0.293226,1.728449
6.216667,-0.291236,1.721691
6.233333,-0.289169,1.714891
6.250000,-0.287022,1.708050
6.266667,-0.284795,1.701168
6.283333,-0.282485,1.694246
6.300000,-0.280093,1.687283
6.316667,-0.277617,1.680281
6.333333,-0.275056,1.673240
6.350000,-0.272409,1.666161
6.366667,-0.269675,1.659046
6.383333,-0.266854,1.651895
6.400000,-0.263944,1.644711
6.416667,-0.260945,1.637495
6.433333,-0.257858,1.630249
6.450000,-0.254679,1.622974
6.466667,-0.251410,1.615674
6.483333,-0.248049,1.608351
6.500000,-0.244598,1.601008
6.516667,-0.241054,1.593648
6.533333,-0.237419,1.586275
6.550000,-0.233692,1.578894
6.566667,-0.229874,1.571507
6.583333,-0.225965,1.564122
6.600000,-0.221965,1.556742
6.616667,-0.217876,1.549375
6.633333,-0.213698,1.542027
6.650000,-0.209433,1.534705
6.666667,-0.205083,1.527417
6.683333,-0.200650,1.520173
6.700000,-0.196136,1.512983
6.716667,-0.191546,1.505856
6.733333,-0.186882,1.498805
6.750000,-0.182149,1.491842
6.766667,-0.177352,1.484980
6.783333,-0.172497,1.478234
6.800000,-0.167590,1.471618
6.816667,-0.162639,1.465148
6.833333,-0.157652,1.458843
6.850000,-0.152637,1.452717
6.866667,-0.147605,1.446788
6.883333,-0.142565,1.441074
6.900000,-0.137528,1.435592
6.916667,-0.132506,1.430359
6.933333,-0.127510,1.425391
6.950000,-0.122552,1.420701
6.966667,-0.116900,1.415660
6.983333,-0.112062,1.411613
7.000000,-0.107297,1.407882
7.016667,-0.102614,1.404472
7.033333,-0.098024,1.401390
7.050000,-0.093533,1.398635
7.066667,-0.089150,1.396213
7.083333,-0.084879,1.394118
7.100000,-0.080726,1.392349
7.116667,-0.076695,1.390901
7.133333,-0.072787,1.389766
7.150000,-0.069006,1.388939
7.166667,-0.065351,1.388409
7.183333,-0.061822,1.388168
7.200000,-0.058419,1.388206
7.216667,-0.055140,1.388512
7.233333,-0.051984,1.389076
7.250000,-0.048948,1.389887
7.266667,-0.046030,1.390935
7.283333,-0.043226,1.392210
7.300000,-0.040534,1.393699
7.316667,-0.037951,1.395396
7.333333,-0.035473,1.397289
7.350000,-0.033097,1.399368
7.366667,-0.030819,1.401625
7.383333,-0.028636,1.404051
7.400000,-0.026544,1.406637
7.416667,-0.024541,1.409377
7.433333,-0.022623,1.412260
7.450000,-0.020787,1.415282
7.466667,-0.019029,1.418434
7.483333,-0.017347,1.421710
7.500000,-0.015737,1.425104
7.516667,-0.014196,1.428609
7.533333,-0.012723,1.432220
7.550000,-0.011313,1.435930
7.566667,-0.009964,1.439736
7.583333,-0.008674,1.443632
7.600000,-0.007439,1.447612
7.616667,-0.006258,1.451673
7.633333,-0.005127,1.455808
7.650000,-0.004044,1.460016
7.666667,-0.003007,1.464290
7.683333,-0.002014,1.468627
7.700000,-0.001061,1.473024
7.716667,-0.000146,1.477475
7.733333,0.000732,1.481978
7.750000,0.001577,1.486528
7.766667,0.002391,1.491122
7.783333,0.003177,1.495756
7.800000,0.003937,1.500425
7.816667,0.004674,1.505128
7.833333,0.005391,1.509858
7.850000,0.006092,1.514613
7.866667,0.006779,1.519387
7.883333,0.007457,1.524178
7.900000,0.008128,1.528979
7.916667,0.008798,1.533785
7.933333,0.009471,1.538591
7.950000,0.010153,1.543390
7.966667,0.010849,1.548176
7.983333,0.011567,1.552940
8.000000,0.012315,1.557672
8.016667,0.013102,1.562363
8.033333,0.013938,1.566997
8.050000,0.014838,1.571561
8.066667,0.015816,1.576034
8.083333,0.016893,1.580392
8.100000,0.018089,1.584606
8.116667,0.019434,1.588635
8.133333,0.020960,1.592432
8.150000,0.022709,1.595933
8.166667,0.024726,1.599058
8.183333,0.027063,1.601709
8.200000,0.029768,1.603772
8.216667,0.032877,1.605129
8.233333,0.036398,1.605686
8.250000,0.040304,1.605397
8.266667,0.044534,1.604287
8.283333,0.049014,1.602438
8.300000,0.053671,1.599962
8.316667,0.058448,1.596977
8.333333,0.063303,1.593586
8.350000,0.068208,1.589877
8.366667,0.073145,1.585915
8.383333,0.078103,1.581756
8.400000,0.083073,1.577440
8.416667,0.088052,1.573001
8.433333,0.093035,1.568464
8.450000,0.098022,1.563850
8.466667,0.103012,1.559176
8.483333,0.108002,1.554456
8.500000,0.112994,1.549701
8.516667,0.117986,1.544921
8.533333,0.122978,1.540125
8.550000,0.127969,1.535321
8.566667,0.132960,1.530514
8.583333,0.137950,1.525711
8.600000,0.142939,1.520917
8.616667,0.147926,1.516137
8.633333,0.152910,1.511375
8.650000,0.157892,1.506636
8.666667,0.162870,1.501925
8.683333,0.167845,1.497244
8.700000,0.172814,1.492598
8.716667,0.177778,1.487991
8.733333,0.182735,1.483427
8.750000,0.187686,1.478908
8.766667,0.192627,1.474440
8.783333,0.197560,1.470026
8.800000,0.202482,1.465670
8.816667,0.207392,1.461374
8.833333,0.212289,1.457145
8.850000,0.217172,1.452986
8.866667,0.222039,1.448901
8.883333,0.226888,1.444895
8.900000,0.231718,1.440971
8.916667,0.236527,1.437137
8.933333,0.241312,1.433395
8.950000,0.246073,1.429751
8.966667,0.250805,1.426212
8.983333,0.255508,1.422782
9.000000,0.260178,1.419468
9.016667,0.264813,1.416275
9.033333,0.269410,1.413211
9.050000,0.273964,1.410282
9.066667,0.278474,1.407496
9.083333,0.282935,1.404860
9.100000,0.287343,1.402382
9.116667,0.291695,1.400070
9.133333,0.295984,1.397933
9.150000,0.300208,1.395980
9.166667,0.304360,1.394220
9.183333,0.308435,1.392662
